year,title,artist,search_url,spotify_url
2026,DTMF,Bad Bunny,https://open.spotify.com/search/DTMF%20Bad%20Bunny,
2026,Swim,BTS,https://open.spotify.com/search/Swim%20BTS,
2026,Drop Dead,Olivia Rodrigo,https://open.spotify.com/search/Drop%20Dead%20Olivia%20Rodrigo,
2026,Hate That I Made You Love Me,Ariana Grande,https://open.spotify.com/search/Hate%20That%20I%20Made%20You%20Love%20Me%20Ariana%20Grande,
2026,Be Her,Ella Langley,https://open.spotify.com/search/Be%20Her%20Ella%20Langley,
2026,I Can't Love You Anymore,Ella Langley & Morgan Wallen,https://open.spotify.com/search/I%20Can%27t%20Love%20You%20Anymore%20Ella%20Langley%20%26%20Morgan%20Wallen,
2026,Dracula,Tame Impala & JENNIE,https://open.spotify.com/search/Dracula%20Tame%20Impala%20%26%20JENNIE,
2026,So Easy (To Fall in Love),Olivia Dean,https://open.spotify.com/search/So%20Easy%20%28To%20Fall%20in%20Love%29%20Olivia%20Dean,
2026,Stateside,PinkPantheress & Zara Larsson,https://open.spotify.com/search/Stateside%20PinkPantheress%20%26%20Zara%20Larsson,
2026,Honeybee,Olivia Rodrigo,https://open.spotify.com/search/Honeybee%20Olivia%20Rodrigo,
2026,Stupid Song,Olivia Rodrigo,https://open.spotify.com/search/Stupid%20Song%20Olivia%20Rodrigo,
2026,Ran to Atlanta,Drake feat. Molly Santana,https://open.spotify.com/search/Ran%20to%20Atlanta%20Drake%20feat.%20Molly%20Santana,
2026,Whisper My Name,Drake,https://open.spotify.com/search/Whisper%20My%20Name%20Drake,
2026,Shabang,Drake,https://open.spotify.com/search/Shabang%20Drake,
2026,National Treasures,Drake,https://open.spotify.com/search/National%20Treasures%20Drake,
2026,Make Them Cry,Drake,https://open.spotify.com/search/Make%20Them%20Cry%20Drake,
2026,Boston,Stella Lefty,https://open.spotify.com/search/Boston%20Stella%20Lefty,
2026,Risk It All,Bruno Mars,https://open.spotify.com/search/Risk%20It%20All%20Bruno%20Mars,
2026,Midnight Sun,Zara Larsson,https://open.spotify.com/search/Midnight%20Sun%20Zara%20Larsson,
2026,Folded,Kehlani,https://open.spotify.com/search/Folded%20Kehlani,
2026,Back to Friends,sombr,https://open.spotify.com/search/Back%20to%20Friends%20sombr,
2026,Dust,Drake,https://open.spotify.com/search/Dust%20Drake,
